context,from,to,weight
OCD-AWARENESS-WEEK-2018,ELEANORROSE2016,OCDYOUTH,2
ELF-DAY,PCSPEPPERONI,NICKJONAS,1
STRESS-AWARENESS-DAY,THEGORILLA1972,BRIAN_BILSTON,2
CARERS-WEEK-2018,CARER49,LISAJ_UK,2
NATIONAL-DEMENTIA-CARERS-2018,ESUSSEXNHS,CAREQUALITYCOMM,2
16-DAYS-OF-ACTION-2018,DJRITU1,UN_WOMEN,2
NATIONAL-DYSLEXIA-WEEK-2018,MR_P_HILLIPS,THINKPIX_SUZE,2
ELF-DAY,GR3BURZ,THESOVRANGROUP,2
MND-AWARENESS-MONTH-2018,KINGSTE29344921,VICKY_100K4MNDA,2
WEAR-PURPLE-FOR-JIA-2018,JIA_MATTERS,CAPSIENAIR,2
CARERS-WEEK-2018,JIMMYTABUK,THESNP,2
16-DAYS-OF-ACTION-2018,JUNTOSPORLAVIDA,ANTONIOGUTERRES,2
CARERS-WEEK-2018,SHAKESPEAREANNA,STMICHAELSHOUSE,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,FOODAFACTOFLIFE,2
16-DAYS-OF-ACTION-2018,CITYOFMAROONDAH,EASTERNCLC,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,JOCONNOLLY_,1
EATING-DISORDER-AWARENESS-WEEK-2018,JENNIEDRABBLE,BEATED,1
16-DAYS-OF-ACTION-2018,HOMELESSNESSAUS,CHPVIC,2
DEMENTIA-ACTION-WEEK-2018,ABIMAGS,VOGCOUNCIL,2
EXPERIENCE-OF-CARE-WEEK-2018,DR_WHOMEVER,EVELYNFIGS,1
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,JOANNEGOUGH6,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,RPHSARAH,1
NO-SMOKING-DAY-2018,GEMSTAFFNURSE,SFL_CDURHAM,1
DRY-JANUARY-2018,INDIECHESTER,URBANO32CHESTER,1
WEAR-PURPLE-FOR-JIA-2018,JEN_PRESTON1,STRAT_OBSERVER,1
STRESS-AWARENESS-DAY,YWIMBLETON,NHSENGLANDLDN,2
JEANS-FOR-GENES-DAY,WILDERBEESTGNU,LEIGHTONS_1928,2
NATIONAL-DYSLEXIA-WEEK-2018,RASHBRJ,DIVERSELEARNERS,1
BRAIN-AWARENESS-WEEK-2018,RNCAT50,FBI,1
JEANS-FOR-GENES-DAY,NEVERMINDBITCH8,JEANSFORGENES,1
MENTAL-HEALTH-AWARENESS-WEEK-2018,BARTANDREWS,JUDGEWREN,1
NATIONAL-DYSLEXIA-WEEK-2018,WIASNOFFICIAL,JOANNA_BALL,2
BRAIN-AWARENESS-WEEK-2018,HOWARD_JUSTINE,BRAINAPPEAL,2
RARE-DISEASE-DAY-2018,SNGITAU,RVAWONK,2
OVARIAN-CANCER-AWARENESS-MONTH-2018,SABINEJESSEN,OVARIANCANCERUK,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,ROSEINMISERY,JENNIEJACQUES1,1
NUTRITION-AND-HYDRATION-WEEK-2018,HEFTEAMSHEFF,HELENBEAGAN1,2
BRAIN-AWARENESS-WEEK-2018,EDUARDO32356827,MERCURYMOTG,1
ELF-DAY,PCSPEPPERONI,PCSDRAG0N,2
CARERS-WEEK-2018,JOYCEMISOI1,BACP,2
NUTRITION-AND-HYDRATION-WEEK-2018,JENNIDOMANDOMAN,MYNAMEISANDYJ,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,SHIGEAKO,JAMESMELVILLE,2
BRAIN-AWARENESS-WEEK-2018,SPHEALTHMKTG,LUNDBECKUS,2
NATIONAL-DYSLEXIA-WEEK-2018,TJAMESNESS,THELIFEDYSLEXIC,2
OCD-AWARENESS-WEEK-2018,S831,LWBEAN,2
EATING-DISORDER-AWARENESS-WEEK-2018,ELLA_GEORGENA,BEATED,2
OCD-AWARENESS-WEEK-2018,MOSKITAVIVAOWO,LWBEAN,2
JEANS-FOR-GENES-DAY,DRDEBD,MRSANNETWIST,2
NATIONAL-DEMENTIA-CARERS-2018,MEMORYLANEA2,ALZHEIMERSSOC,2
BRAIN-INJURY-WEEK-2018,ISSABLOM,_JCBFM,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,FUNDACIONDRAVET,PURPLEDAY,1
EXPERIENCE-OF-CARE-WEEK-2018,JEREMYMOSHER2,UICFMR,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,JMCDOUGALDPS,ONTHEALTH,2
DRY-JANUARY-2018,ALTYFLOWERSMITH,RESERVEALTY,2
OCD-AWARENESS-WEEK-2018,0EN0PHILLIAC,LWBEAN,2
16-DAYS-OF-ACTION-2018,ARLENECREIGHTON,WOMENSAIDABCLN,1
RARE-DISEASE-DAY-2018,IAMSHORT2015,THEGOLDWATERUS,2
ELF-DAY,SHAYPCLOVE,PCSDRAG0N,2
EPILEPSY-AWARENESS-PURPLE-DAY-2018,MLWELDON5,BSYNGAP,2
MENTAL-HEALTH-AWARENESS-WEEK-2018,JLP131,MHRESIST,1
EPILEPSY-AWARENESS-PURPLE-DAY-2018,MBEPILEPSY,EPILEPSYIRELAND,2
JEANS-FOR-GENES-DAY,ALICEDIXI,JEANSFORGENES,1
BRAIN-AWARENESS-WEEK-2018,LUCIAHIPOLITO2,BERKLEEGEMB,1
NATIONAL-DEMENTIA-CARERS-2018,ANGISHEP,CAREQUALITYCOMM,2
TIME-TO-TALK-DAY-2018,THELACEYLONDON,THELACEYLONDON,1
STRESS-AWARENESS-DAY,DOMINICBELL15,ENGLANDGOLF,2
EATING-DISORDER-AWARENESS-WEEK-2018,POTUSPRESS,STOPBULLYINGGOV,2
DEMENTIA-ACTION-WEEK-2018,DISABILITYNORTH,NEWCASTLEBSOC,2
NO-SMOKING-DAY-2018,BBHEALTHFORUM,PUBLICHEALTHNI,2
DEMENTIA-ACTION-WEEK-2018,MASON4233,MASON4233,1
NATIONAL-DEMENTIA-CARERS-2018,RALPHNMARTINS1,ALZHEIMERSSOC,2
DEMENTIA-ACTION-WEEK-2018,BATESBATES75,YORKSAMBULANCE,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,GYNCSM,SALUDAMERICA,2
16-DAYS-OF-ACTION-2018,BUCHANANLIANA,CCYPVICTORIA,2
WEAR-PURPLE-FOR-JIA-2018,JENNIEJ95408140,FRAMINGHAMEARL,1
NUTRITION-AND-HYDRATION-WEEK-2018,SIANMORGANB,HANNAHLHARTNETT,2
DEMENTIA-ACTION-WEEK-2018,WHOSESHOES,SUZYSOPENHEART,1
NO-SMOKING-DAY-2018,TURNINGPOINTUK,DAWS_LONDON,2
CARERS-WEEK-2018,JOYCEMISOI1,CARERSUK,1
MND-AWARENESS-MONTH-2018,REDADMIRAL67,VICKY_100K4MNDA,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,BCMCANCER,CPRITTEXAS,1
OVARIAN-CANCER-AWARENESS-MONTH-2018,DAD2ALYS,VELINDRECC,1
BRAIN-INJURY-WEEK-2018,HEADWAYSUFFOLK,DISS_EXPRESS,1
NATIONAL-DEMENTIA-CARERS-2018,SHELLEY__BRIGHT,CAREQUALITYCOMM,2
NUTRITION-AND-HYDRATION-WEEK-2018,MYNAMEISANDYJ,HANNAHLHARTNETT,3
16-DAYS-OF-ACTION-2018,NANCYEHANNA,UKUN_NEWYORK,2
WEAR-PURPLE-FOR-JIA-2018,JIA_MATTERS,CHERALYNBEESTON,1
WEAR-PURPLE-FOR-JIA-2018,CLARE_NRAS,JIA_NRAS,2
NUTRITION-AND-HYDRATION-WEEK-2018,CSHSURREY,CARERSUK,2
BRAIN-AWARENESS-WEEK-2018,ELLENBOYDWRITER,BRAINTUMOURFDN,1
JEANS-FOR-GENES-DAY,STARACADEMIES,EDENGIRLSWF,2
JEANS-FOR-GENES-DAY,PREET_AGGERWALL,CENTREOFTHECELL,2
CERVICAL-CANCER-PREVENTION-WEEK-2018,UOFUHEALTH,SARASALMON_AYA,1
MND-AWARENESS-MONTH-2018,ALUNOWEN6,NICKGOLDUP1,2
BRAIN-INJURY-WEEK-2018,INPALLIANCE,UKABIF,4
JEANS-FOR-GENES-DAY,LISAOB98,SHAKAILAELISE,1
